name,type,district,province
Aamchowk,Rural Municipality,Bhojpur,Koshi Pradesh
Aandhikhola,Rural Municipality,Syangja,Gandaki Pradesh
Aarughat,Rural Municipality,Gorkha,Gandaki Pradesh
Aathabis,Municipality,Dailekh,Karnali Pradesh
Aathbiskot,Municipality,Rukum West,Karnali Pradesh
Aathrai,Rural Municipality,Terhathum,Koshi Pradesh
Aathrai Tribeni,Rural Municipality,Taplejung,Koshi Pradesh
Aaurahi,Rural Municipality,Dhanusha,Madhesh Pradesh
Adanchuli,Rural Municipality,Humla,Karnali Pradesh
Adarsh kotwal,Rural Municipality,Bara,Madhesh Pradesh
Adharsha,Rural Municipality,Doti,Sudurpashchim Pradesh
Agnisair Krishna Savaran,Rural Municipality,Saptari,Madhesh Pradesh
Ainselukhark,Rural Municipality,Khotang,Koshi Pradesh
Ajaymeru,Rural Municipality,Dadeldhura,Sudurpashchim Pradesh
Ajirkot,Rural Municipality,Gorkha,Gandaki Pradesh
Alital,Rural Municipality,Dadeldhura,Sudurpashchim Pradesh
Amachodingmo,Rural Municipality,Rasuwa,Bagmati Pradesh
Amargadhi,Municipality,Dadeldhura,Sudurpashchim Pradesh
Anbukhaireni,Rural Municipality,Tanahu,Gandaki Pradesh
Annapurna,Rural Municipality,Myagdi,Gandaki Pradesh
Annapurna,Rural Municipality,Kaski,Gandaki Pradesh
Apihimal,Rural Municipality,Darchula,Sudurpashchim Pradesh
Arjunchaupari,Rural Municipality,Syangja,Gandaki Pradesh
Arjundhara,Municipality,Jhapa,Koshi Pradesh
Arnama,Rural Municipality,Siraha,Madhesh Pradesh
Arun,Rural Municipality,Bhojpur,Koshi Pradesh
Aurahi,Municipality,Mahottari,Madhesh Pradesh
Aurahi,Rural Municipality,Siraha,Madhesh Pradesh
Ayirabat,Rural Municipality,Pyuthan,Lumbini Pradesh
Babai,Rural Municipality,Dang,Lumbini Pradesh
Badhaiyatal,Rural Municipality,Bardiya,Lumbini Pradesh
Badigad,Rural Municipality,Baglung,Gandaki Pradesh
Badikedar,Rural Municipality,Doti,Sudurpashchim Pradesh
Badimalika,Municipality,Bajura,Sudurpashchim Pradesh
Bagchaur,Municipality,Salyan,Karnali Pradesh
Baglung,Municipality,Baglung,Gandaki Pradesh
Bagmati,Municipality,Sarlahi,Madhesh Pradesh
Bagmati,Rural Municipality,Lalitpur,Bagmati Pradesh
Bagmati,Rural Municipality,Makwanpur,Bagmati Pradesh
Bagnaskali,Rural Municipality,Palpa,Lumbini Pradesh
Bahudaramai,Municipality,Parsa,Madhesh Pradesh
Baijanath,Rural Municipality,Banke,Lumbini Pradesh
Baiteshwor,Rural Municipality,Dolakha,Bagmati Pradesh
Bakaiya,Rural Municipality,Makwanpur,Bagmati Pradesh
Balan Bihul,Rural Municipality,Saptari,Madhesh Pradesh
Balara,Municipality,Sarlahi,Madhesh Pradesh
Balefi,Rural Municipality,Sindhupalchok,Bagmati Pradesh
Balwa,Municipality,Mahottari,Madhesh Pradesh
Bandipur,Rural Municipality,Tanahu,Gandaki Pradesh
Banepa,Municipality,Kavrepalanchok,Bagmati Pradesh
Banfikot,Rural Municipality,Rukum West,Karnali Pradesh
Bangad,Municipality,Salyan,Karnali Pradesh
Banganga,Municipality,Kapilbastu,Lumbini Pradesh
Banglachuli,Rural Municipality,Dang,Lumbini Pradesh
Bannigadhi,Rural Municipality,Achham,Sudurpashchim Pradesh
Bansagadhi,Municipality,Bardiya,Lumbini Pradesh
Baragadhi,Rural Municipality,Bara,Madhesh Pradesh
Barahapokhari,Rural Municipality,Khotang,Koshi Pradesh
Barahathawa,Municipality,Sarlahi,Madhesh Pradesh
Barahchhetra,Municipality,Sunsari,Koshi Pradesh
Barahtal,Rural Municipality,Surkhet,Karnali Pradesh
